Description,count
Withdrawal Debit Card MC Debit Gator/CIRCLE K # 06782 GAINESVILLE FLDate 01/28/25 0 5028905568 0 5499Card 1247,1
Withdrawal Debit Card MC Debit Seminol/SAMSUNG ELECTRONICS RIDGEFIELD P NJDate 07/06/24 0 4188926193 0 5734Card 1231,1
Withdrawal POS #000000804440/INSTACART*159 WWW.INSTACART.COM/ SANFRANCISCO CACard 1231,1
Withdrawal Bill Payment #000003063817/PAYPAL *HOSTGATOR 2211 North FirstSan Jose CACard 1231,1
Recurring Withdrawal Debit Card - MC Debit Seminol/APPLE.COM/BILL 866-712-7753 CADate 01/21/24 0 4021893834 0 5818Card 1231,1
Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEEDate 01/08/24 0 4008859029 0 5734Card 2801,1
Recurring Withdrawal Debit Card - MC Debit Seminol/FS *ADOBE SANTA BARBAR CADate 01/01/24 0 4001674859 0 5734Card 2801,1
Recurring Withdrawal Debit Card - MC Debit Seminol/ADOBE *PS CREATIVE CL 4085366000 CADate 01/01/24 0 4001644620 0 5734Card 2801,1
Withdrawal Debit Card MC Debit Seminol/HOSTINGER.COM LARNAKA CYDate 01/01/24 0 4001856471 0 5734Card 2801,1
Recurring Withdrawal Debit Card - MC Debit Seminol/ETSY.COM*AIAVATAR BROOKLYN NYDate 01/01/24 0 4001780812 0 5970Card 2801,1
Recurring Withdrawal Debit Card - MC Debit Seminol/LINKTREE* LINKTREE DOVER DEDate 01/05/24 0 4005830282 1 5734Card 2801,1
"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/31/25 0 5151375863 2 5817
Card 1247",1
Recurring Withdrawal Debit Card - MC Debit Seminol/IC* INSTACART*SUBSCRIP SAN FRANCISC CADate 09/28/24 0 4272959868 0 5411Card 1231,1
"Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/31/25 0 5151554310 2 5734
Card 1247",1
Recurring Withdrawal Debit Card - MC Debit Seminol/APPLE.COM/BILL 866-712-7753 CADate 05/10/24 0 4131679078 1 5818Card 1231,1
"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/31/25 0 5151554309 2 5734
Card 1247",1
Withdrawal Debit Card MC Debit Seminol/SAMSUNG ELECTRONICS RIDGEFIELD P NJDate 09/27/24 0 4271170159 2 5734Card 1231,1
Recurring Withdrawal Debit Card - MC Debit Seminol/APPLE.COM/BILL 866-712-7753 CADate 05/10/24 0 4131679029 1 5818Card 1231,1
Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEEDate 12/31/23 0 3365740203 0 5734Card 2801,1
"Withdrawal POS #000000000002/ETSY.COM*US ETSY.COM*AIAV WWW.ETSY.COM/
BROOKLYN NY
Card 1247",1
Withdrawal Debit Card MC Debit Seminol/CIRCLE K # 06782 GAINESVILLE FLDate 09/24/24 0 4268492649 1 5499Card 1231,1
