Post Date,Description,Debit,Status,Balance,date,amount,vendor_group,amount_grouped
6/2/2025,"Withdrawal POS #000000572320/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",22.17,Posted,1098.52,2025-06-02,22.17,"Withdrawal POS #000000666979/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",22.005000000000003
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/MYDESIGNS - PRO - MON LAS VEGAS NV
Date 06/01/25 0 5152146505 1 5734
Card 1247",49.99,Posted,1120.69,2025-06-02,49.99,"Recurring Withdrawal Debit Card - MC Debit Gator/MYDESIGNS - PRO - MON LAS VEGAS NV
Date 06/01/25 0 5152146505 1 5734
Card 1247",49.99
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 06/02/25 0 5153117531 1 5734
Card 1247",6.04,Posted,1170.68,2025-06-02,6.04,Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CADate 03/08/25 0 5067339145 0 5734Card 1247,6.29875
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 05/31/25 0 5151282040 2 5734
Card 1247",6.27,Posted,1176.72,2025-06-02,6.27,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 05/31/25 0 5151282040 2 5734
Card 1247",6.346666666666667
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 06/01/25 0 5152295185 0 5734
Card 1247",6.24,Posted,1182.99,2025-06-02,6.24,Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CADate 03/08/25 0 5067339145 0 5734Card 1247,6.29875
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 05/31/25 0 5151556312 2 5734
Card 1247",6.22,Posted,1189.23,2025-06-02,6.22,"Withdrawal Debit Card MC Debit Gator/VIDIQ SAN FRANCISC CA
Date 05/31/25 0 5151573162 0 5734
Card 1247",6.22
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/PARAMOUNT+ WEST HOLLYWO CA
Date 06/01/25 0 5152328615 1 4899
Card 1247",14.96,Posted,1195.45,2025-06-02,14.96,"Recurring Withdrawal Debit Card - MC Debit Gator/PARAMOUNT+ WEST HOLLYWO CA
Date 06/01/25 0 5152328615 1 4899
Card 1247",14.96
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/PADDLE.NET* SETAPP NEW YORK NY
Date 05/31/25 0 5151555568 2 5817
Card 1247",9.99,Posted,1210.41,2025-06-02,9.99,"Recurring Withdrawal Debit Card - MC Debit Gator/PADDLE.NET* SETAPP NEW YORK NY
Date 05/31/25 0 5151555568 2 5817
Card 1247",9.99
6/2/2025,"Withdrawal Debit Card MC Debit Gator/INVIDEO INC COUNTRY OF S DE
Date 06/01/25 0 5152143829 1 5734
Card 1247",33.04,Posted,1220.4,2025-06-02,33.04,"Withdrawal Debit Card MC Debit Gator/INVIDEO INC COUNTRY OF S DE
Date 06/01/25 0 5152143829 1 5734
Card 1247",33.04
6/2/2025,"Withdrawal Debit Card MC Debit Gator/VIDIQ SAN FRANCISC CA
Date 05/31/25 0 5151573162 0 5734
Card 1247",19.0,Posted,1253.44,2025-06-02,19.0,"Withdrawal Debit Card MC Debit Gator/VIDIQ SAN FRANCISC CA
Date 05/31/25 0 5151573162 0 5734
Card 1247",19.0
6/2/2025,"Withdrawal Debit Card MC Debit Gator/INVIDEO INC COUNTRY OF S DE
Date 05/31/25 0 5151554623 2 5734
Card 1247",25.0,Posted,1272.44,2025-06-02,25.0,"Withdrawal Debit Card MC Debit Gator/INVIDEO INC COUNTRY OF S DE
Date 06/01/25 0 5152143829 1 5734
Card 1247",25.0
6/2/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/31/25 0 5151554560 2 5411
Card 1247",3.0,Posted,1297.44,2025-06-02,3.0,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/31/25 0 5151554560 2 5411
Card 1247",3.0
6/2/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/31/25 0 5151554551 2 5411
Card 1247",39.76,Posted,1300.44,2025-06-02,39.76,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/31/25 0 5151554560 2 5411
Card 1247",39.76
6/2/2025,"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 06/01/25 0 5152326251 1 5734
Card 1247",0.1,Posted,1340.2,2025-06-02,0.1,"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 06/01/25 0 5152326251 1 5734
Card 1247",0.065
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/LEONARDO.AI NORTH SYDNEY NS
Date 06/01/25 0 5152326251 1 5734
Card 1247",12.0,Posted,1340.3,2025-06-02,12.0,"Recurring Withdrawal Debit Card - MC Debit Gator/LEONARDO.AI NORTH SYDNEY NS
Date 06/01/25 0 5152326251 1 5734
Card 1247",12.0
6/2/2025,"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/31/25 0 5151375863 2 5817
Card 1247",0.08,Posted,1352.3,2025-06-02,0.08,"Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 03/31/25 0 5090929332 0 5817
Card 1247",0.11399999999999999
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OBSIDIAN.MD OAKVILLE ON
Date 05/31/25 0 5151375863 2 5817
Card 1247",10.0,Posted,1352.38,2025-06-02,10.0,"Recurring Withdrawal Debit Card - MC Debit Gator/OBSIDIAN.MD OAKVILLE ON
Date 05/31/25 0 5151375863 2 5817
Card 1247",10.0
6/2/2025,"Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/31/25 0 5151554310 2 5734
Card 1247",0.16,Posted,1362.38,2025-06-02,0.16,"Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 03/31/25 0 5090929332 0 5817
Card 1247",0.11399999999999999
6/2/2025,"Withdrawal Debit Card MC Debit Gator/IDEOGRAM AI TORONTO ON
Date 05/31/25 0 5151554310 2 5734
Card 1247",20.0,Posted,1362.54,2025-06-02,20.0,"Withdrawal Debit Card MC Debit Gator/IDEOGRAM AI TORONTO ON
Date 05/31/25 0 5151554310 2 5734
Card 1247",20.0
6/2/2025,"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/31/25 0 5151554309 2 5734
Card 1247",0.03,Posted,1382.54,2025-06-02,0.03,"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 06/01/25 0 5152326251 1 5734
Card 1247",0.065
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/IDEOGRAM AI TORONTO ON
Date 05/31/25 0 5151554309 2 5734
Card 1247",3.2,Posted,1382.57,2025-06-02,3.2,"Recurring Withdrawal Debit Card - MC Debit Gator/IDEOGRAM AI TORONTO ON
Date 04/08/25 0 5098321266 0 5734
Card 1247",3.2
6/2/2025,"Withdrawal ACH Watson Realty Co/TYPE: WEB PMTS ID: 9000321157
CO: Watson Realty Co
NAME: Steven chaplinskiEntry Class Code: WEB",1179.0,Posted,1385.77,2025-06-02,1179.0,"Withdrawal ACH Watson Realty Co/TYPE: WEB PMTS ID: 9000321157
CO: Watson Realty Co
NAME: Steven chaplinskiEntry Class Code: WEB",1179.0
6/2/2025,"Withdrawal ACH AppFolio, Inc. F/TYPE: WEB PMTS ID: 9001406550
CO: AppFolio, Inc. F
NAME: Steven chaplinskiEntry Class Code: WEB",2.49,Posted,2564.77,2025-06-02,2.49,"Withdrawal ACH AppFolio, Inc. F/TYPE: WEB PMTS ID: 9001406550
CO: AppFolio, Inc. F
NAME: Steven chaplinskiEntry Class Code: WEB",2.49
6/1/2025,"Withdrawal POS #000000000002/ETSY.COM*US ETSY.COM*AIAV WWW.ETSY.COM/
BROOKLYN NY
Card 1247",0.6,Posted,2567.26,2025-06-01,0.6,"Withdrawal POS #000000000002/ETSY.COM*US ETSY.COM*AIAV WWW.ETSY.COM/
BROOKLYN NY
Card 1247",0.6
6/1/2025,"Withdrawal POS #000020312090/GOOGLE *YouTubePremium 1600 Amphitheatre
Parkw Mountain View CA
Card 1247",15.92,Posted,2567.86,2025-06-01,15.92,"Withdrawal POS #000020312090/GOOGLE *YouTubePremium 1600 Amphitheatre
Parkw Mountain View CA
Card 1247",15.92
5/31/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 05/31/25 0 5151240922 1 5734
Card 1247",6.71,Posted,2583.78,2025-05-31,6.71,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 05/31/25 0 5151282040 2 5734
Card 1247",6.346666666666667
5/31/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 05/30/25 0 5150240921 1 5734
Card 1247",6.63,Posted,2590.49,2025-05-31,6.63,Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CADate 03/08/25 0 5067339145 0 5734Card 1247,6.29875
5/31/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 05/30/25 0 5150059225 1 5734
Card 1247",6.24,Posted,2597.12,2025-05-31,6.24,Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CADate 03/08/25 0 5067339145 0 5734Card 1247,6.29875
5/31/2025,"Withdrawal Debit Card MC Debit Gator/WALGREENS #9304 GAINESVILLE FL
Date 05/30/25 0 5150232309 1 5912
Card 1247",23.78,Posted,2603.36,2025-05-31,23.78,"Withdrawal Debit Card MC Debit Gator/WALGREENS #9304 GAINESVILLE FL
Date 05/30/25 0 5150232309 1 5912
Card 1247",23.78
5/31/2025,"Withdrawal Debit Card MC Debit Gator/WALGREENS #5024 GAINESVILLE FL
Date 05/30/25 0 5150232278 1 5912
Card 1247",15.0,Posted,2627.14,2025-05-31,15.0,"Withdrawal Debit Card MC Debit Gator/WALGREENS #9304 GAINESVILLE FL
Date 05/30/25 0 5150232309 1 5912
Card 1247",15.0
5/31/2025,"Withdrawal POS #000000256943/AMAZON.COM*NN6201DU0 SEATTLE WA
Card 1247",30.34,Posted,2642.14,2025-05-31,30.34,"Withdrawal POS #000000256943/AMAZON.COM*NN6201DU0 SEATTLE WA
Card 1247",30.34
5/30/2025,"Withdrawal POS #000000347331/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",39.5,Posted,2672.48,2025-05-30,39.5,"Withdrawal POS #000000666979/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",39.5
5/30/2025,"Withdrawal ATM Fee/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",2.0,Posted,2711.98,2025-05-30,2.0,"Withdrawal ATM Fee/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",2.0
5/30/2025,"Withdrawal at ATM #000000785755/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",128.0,Posted,2713.98,2025-05-30,128.0,"Withdrawal at ATM #000000785755/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",128.0
5/30/2025,Withdrawal CourtesyFeeDebit,35.0,Posted,-158.02,2025-05-30,35.0,Withdrawal CourtesyFeeDebit,35.0
5/30/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/SUPERPOWER CHATGPT MIDDLETOWN DE
Date 05/29/25 0 5149990977 0 5734
Card 1247",15.0,Posted,-123.02,2025-05-30,15.0,"Recurring Withdrawal Debit Card - MC Debit Gator/SUPERPOWER CHATGPT MIDDLETOWN DE
Date 06/05/25 0 5156229550 1 5734
Card 1247",15.0
5/28/2025,Withdrawal CourtesyFeeDebit,35.0,Posted,-108.02,2025-05-28,35.0,Withdrawal CourtesyFeeDebit,35.0
5/28/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/IC* INSTACART*SUBSCRIP SAN FRANCISC CA
Date 05/27/25 0 5147989663 0 5411
Card 1247",9.99,Posted,-73.02,2025-05-28,9.99,"Recurring Withdrawal Debit Card - MC Debit Gator/IC* INSTACART*SUBSCRIP SAN FRANCISC CA
Date 05/27/25 0 5147989663 0 5411
Card 1247",9.99
5/26/2025,Withdrawal CourtesyFeeDebit,35.0,Posted,-63.03,2025-05-26,35.0,Withdrawal CourtesyFeeDebit,35.0
5/26/2025,"Withdrawal POS #000000216148/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",20.76,Posted,-28.03,2025-05-26,20.76,"Withdrawal POS #000000666979/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",20.76
5/26/2025,"Withdrawal Debit Card MC Debit Gator/CIRCLE K # 26146 GAINESVILLE FL
Date 05/24/25 0 5144137268 1 5499
Card 1247",7.72,Posted,-7.27,2025-05-26,7.72,"Withdrawal Debit Card MC Debit Gator/CIRCLE K # 26146 GAINESVILLE FL
Date 05/24/25 0 5144137268 1 5499
Card 1247",7.72
5/26/2025,"Withdrawal Debit Card MC Debit Gator/CIRCLE K # 06782 GAINESVILLE FL
Date 05/24/25 0 5144137005 1 5499
Card 1247",19.54,Posted,0.45,2025-05-26,19.54,Withdrawal Debit Card MC Debit Gator/CIRCLE K # 06782 GAINESVILLE FLDate 01/31/25 0 5031331003 1 5499Card 1247,19.54
5/25/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/NETFLIX.COM LOS GATOS CA
Date 05/23/25 0 5143471019 2 4899
Card 1247",20.71,Posted,19.99,2025-05-25,20.71,"Recurring Withdrawal Debit Card - MC Debit Gator/NETFLIX.COM LOS GATOS CA
Date 05/23/25 0 5143471019 2 4899
Card 1247",20.71
5/25/2025,"Withdrawal POS #000000133422/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",20.76,Posted,40.7,2025-05-25,20.76,"Withdrawal POS #000000216148/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",20.33
5/24/2025,"Withdrawal ATM Fee/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",2.0,Posted,61.46,2025-05-24,2.0,"Withdrawal ATM Fee/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",2.0
5/24/2025,"Withdrawal at ATM #000000478783/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",63.0,Posted,63.46,2025-05-24,63.0,"Withdrawal at ATM #000000785755/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",63.0
5/21/2025,"Withdrawal POS #000000059286/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",16.79,Posted,1.46,2025-05-21,16.79,"Withdrawal POS #000000666979/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",16.79
5/21/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/20/25 0 5140325944 0 5411
Card 1247",62.0,Posted,-81.75,2025-05-21,62.0,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 03/22/25 0 5081791779 0 5411
Card 1247",62.0
5/21/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/CANVA* I04522-50593645 CAMDEN DE
Date 05/20/25 0 5140963894 0 7333
Card 1247",12.99,Posted,-19.75,2025-05-21,12.99,"Recurring Withdrawal Debit Card - MC Debit Gator/CANVA* I04522-50593645 CAMDEN DE
Date 05/20/25 0 5140963894 0 7333
Card 1247",12.99
5/21/2025,"Withdrawal Debit Card MC Debit Gator/CIRCLE K # 06782 GAINESVILLE FL
Date 05/19/25 0 5139975993 0 5499
Card 1247",19.54,Posted,-6.76,2025-05-21,19.54,Withdrawal Debit Card MC Debit Gator/CIRCLE K # 06782 GAINESVILLE FLDate 01/31/25 0 5031331003 1 5499Card 1247,19.54
5/20/2025,Withdrawal ATM Transaction,20.0,Posted,12.78,2025-05-20,20.0,Withdrawal ATM Transaction,20.0
5/20/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/19/25 0 5139082313 1 5541
Card 1247",22.17,Posted,32.78,2025-05-20,22.17,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/19/25 0 5139082313 1 5541
Card 1247",22.005000000000003
5/19/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/18/25 0 5138957555 0 5411
Card 1247",45.67,Posted,54.95,2025-05-19,45.67,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 03/22/25 0 5081791779 0 5411
Card 1247",45.67
5/19/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/18/25 0 5138961883 0 5541
Card 1247",20.76,Posted,100.62,2025-05-19,20.76,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/19/25 0 5139082313 1 5541
Card 1247",20.545
5/19/2025,"Withdrawal ACH FLUENT-Gainesvil/TYPE: PAYMENT ID: 1371804719
CO: FLUENT-Gainesvil
NAME: steven chaplinskiEntry Class Code: WEB",55.0,Posted,121.38,2025-05-19,55.0,"Withdrawal ACH FLUENT-Gainesvil/TYPE: PAYMENT ID: 1371804719
CO: FLUENT-Gainesvil
NAME: steven chaplinskiEntry Class Code: WEB",55.0
5/18/2025,"Withdrawal Debit Card MC Debit Gator/UBER *TRIP 8005928996 CA
Date 05/17/25 0 5137425800 0 4121
Card 1247",12.93,Posted,176.38,2025-05-18,12.93,"Withdrawal Debit Card MC Debit Gator/UBER *TRIP 8005928996 CA
Date 05/17/25 0 5137425800 0 4121
Card 1247",12.93
5/18/2025,"Withdrawal Debit Card MC Debit Gator/UBER TRIP* TRIP SAN FRANCISC CA
Date 05/17/25 0 5137032195 1 4121
Card 1247",7.84,Posted,189.31,2025-05-18,7.84,"Withdrawal Debit Card MC Debit Gator/UBER TRIP* TRIP SAN FRANCISC CA
Date 05/17/25 0 5137032195 1 4121
Card 1247",7.84
5/18/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/17/25 0 5137923930 0 5541
Card 1247",20.33,Posted,197.15,2025-05-18,20.33,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/19/25 0 5139082313 1 5541
Card 1247",20.545
5/18/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/17/25 0 5137923929 0 5541
Card 1247",17.28,Posted,217.48,2025-05-18,17.28,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/19/25 0 5139082313 1 5541
Card 1247",17.28
5/18/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/CHIPOTLE ONLINE CHIPOTLE.COM CA
Date 05/17/25 0 5137923085 0 5814
Card 1247",20.0,Posted,234.76,2025-05-18,20.0,"Recurring Withdrawal Debit Card - MC Debit Gator/CHIPOTLE ONLINE CHIPOTLE.COM CA
Date 05/17/25 0 5137923085 0 5814
Card 1247",20.0
5/18/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/AMAZON PRIME*NZ72M6V92 AMZN.COM/BIL WA
Date 05/17/25 0 5137026065 1 5968
Card 1247",15.13,Posted,254.76,2025-05-18,15.13,"Recurring Withdrawal Debit Card - MC Debit Gator/AMAZON PRIME*NZ72M6V92 AMZN.COM/BIL WA
Date 05/17/25 0 5137026065 1 5968
Card 1247",15.13
5/16/2025,"Withdrawal Debit Card MC Debit Gator/UBER *TRIP 8005928996 CA
Date 05/15/25 0 5135067572 1 4121
Card 1247",18.97,Posted,269.89,2025-05-16,18.97,"Withdrawal Debit Card MC Debit Gator/UBER *TRIP 8005928996 CA
Date 05/17/25 0 5137425800 0 4121
Card 1247",18.97
5/16/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/15/25 0 5135215071 1 5541
Card 1247",34.99,Posted,288.86,2025-05-16,34.99,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/19/25 0 5139082313 1 5541
Card 1247",34.99
5/16/2025,"Withdrawal ACH FLUENT-Gainesvil/TYPE: PAYMENT ID: 1371804719
CO: FLUENT-Gainesvil
NAME: steven chaplinskiEntry Class Code: WEB",25.0,Posted,323.85,2025-05-16,25.0,"Withdrawal ACH FLUENT-Gainesvil/TYPE: PAYMENT ID: 1371804719
CO: FLUENT-Gainesvil
NAME: steven chaplinskiEntry Class Code: WEB",25.0
5/15/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/14/25 0 5134998729 0 5411
Card 1247",3.41,Posted,348.85,2025-05-15,3.41,Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CADate 03/13/25 0 5072883709 0 5411Card 1247,3.75
5/15/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/14/25 0 5134998723 0 5411
Card 1247",55.08,Posted,352.26,2025-05-15,55.08,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 03/22/25 0 5081791779 0 5411
Card 1247",55.04
5/15/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/14/25 0 5134204005 1 5541
Card 1247",24.19,Posted,407.34,2025-05-15,24.19,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/19/25 0 5139082313 1 5541
Card 1247",24.19
5/14/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/13/25 0 5133133164 1 5541
Card 1247",24.19,Posted,431.53,2025-05-14,24.19,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/19/25 0 5139082313 1 5541
Card 1247",24.19
5/14/2025,"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/13/25 0 5133953606 0 5734
Card 1247",0.08,Posted,455.72,2025-05-14,0.08,"Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 03/31/25 0 5090929332 0 5817
Card 1247",0.11399999999999999
