Post Date,Description,Debit,Status,Balance
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 06/01/25 0 5152295185 0 5734
Card 1247",6.24,Posted,1182.99
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 05/31/25 0 5151556312 2 5734
Card 1247",6.22,Posted,1189.23
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/PARAMOUNT+ WEST HOLLYWO CA
Date 06/01/25 0 5152328615 1 4899
Card 1247",14.96,Posted,1195.45
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/PADDLE.NET* SETAPP NEW YORK NY
Date 05/31/25 0 5151555568 2 5817
Card 1247",9.99,Posted,1210.41
6/2/2025,"Withdrawal Debit Card MC Debit Gator/INVIDEO INC COUNTRY OF S DE
Date 06/01/25 0 5152143829 1 5734
Card 1247",33.04,Posted,1220.4
6/2/2025,"Withdrawal Debit Card MC Debit Gator/VIDIQ SAN FRANCISC CA
Date 05/31/25 0 5151573162 0 5734
Card 1247",19,Posted,1253.44
6/2/2025,"Withdrawal Debit Card MC Debit Gator/INVIDEO INC COUNTRY OF S DE
Date 05/31/25 0 5151554623 2 5734
Card 1247",25,Posted,1272.44
6/2/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/31/25 0 5151554560 2 5411
Card 1247",3,Posted,1297.44
6/2/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/31/25 0 5151554551 2 5411
Card 1247",39.76,Posted,1300.44
6/2/2025,"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 06/01/25 0 5152326251 1 5734
Card 1247",0.1,Posted,1340.2
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/LEONARDO.AI NORTH SYDNEY NS
Date 06/01/25 0 5152326251 1 5734
Card 1247",12,Posted,1340.3
6/2/2025,"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/31/25 0 5151375863 2 5817
Card 1247",0.08,Posted,1352.3
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OBSIDIAN.MD OAKVILLE ON
Date 05/31/25 0 5151375863 2 5817
Card 1247",10,Posted,1352.38
6/2/2025,"Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/31/25 0 5151554310 2 5734
Card 1247",0.16,Posted,1362.38
6/2/2025,"Withdrawal Debit Card MC Debit Gator/IDEOGRAM AI TORONTO ON
Date 05/31/25 0 5151554310 2 5734
Card 1247",20,Posted,1362.54
6/2/2025,"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/31/25 0 5151554309 2 5734
Card 1247",0.03,Posted,1382.54
6/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/IDEOGRAM AI TORONTO ON
Date 05/31/25 0 5151554309 2 5734
Card 1247",3.2,Posted,1382.57
6/2/2025,"Withdrawal ACH Watson Realty Co/TYPE: WEB PMTS ID: 9000321157
CO: Watson Realty Co
NAME: Steven chaplinskiEntry Class Code: WEB",1179,Posted,1385.77
6/2/2025,"Withdrawal ACH AppFolio, Inc. F/TYPE: WEB PMTS ID: 9001406550
CO: AppFolio, Inc. F
NAME: Steven chaplinskiEntry Class Code: WEB",2.49,Posted,2564.77
6/1/2025,"Withdrawal POS #000000000002/ETSY.COM*US ETSY.COM*AIAV WWW.ETSY.COM/
BROOKLYN NY
Card 1247",0.6,Posted,2567.26
6/1/2025,"Withdrawal POS #000020312090/GOOGLE *YouTubePremium 1600 Amphitheatre
Parkw Mountain View CA
Card 1247",15.92,Posted,2567.86
5/31/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 05/31/25 0 5151240922 1 5734
Card 1247",6.71,Posted,2583.78
5/31/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 05/30/25 0 5150240921 1 5734
Card 1247",6.63,Posted,2590.49
5/31/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 05/30/25 0 5150059225 1 5734
Card 1247",6.24,Posted,2597.12
5/31/2025,"Withdrawal Debit Card MC Debit Gator/WALGREENS #9304 GAINESVILLE FL
Date 05/30/25 0 5150232309 1 5912
Card 1247",23.78,Posted,2603.36
5/31/2025,"Withdrawal Debit Card MC Debit Gator/WALGREENS #5024 GAINESVILLE FL
Date 05/30/25 0 5150232278 1 5912
Card 1247",15,Posted,2627.14
5/31/2025,"Withdrawal POS #000000256943/AMAZON.COM*NN6201DU0 SEATTLE WA
Card 1247",30.34,Posted,2642.14
5/30/2025,"Withdrawal POS #000000347331/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",39.5,Posted,2672.48
5/30/2025,"Withdrawal ATM Fee/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",2,Posted,2711.98
5/30/2025,"Withdrawal at ATM #000000785755/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",128,Posted,2713.98
5/30/2025,"Deposit Home Banking Transfer/From CHAPLINSKI,LEON 3496297 Share 0090
Funds Transfer via Mobile",,Posted,2841.98
5/30/2025,Withdrawal CourtesyFeeDebit,35,Posted,-158.02
5/30/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/SUPERPOWER CHATGPT MIDDLETOWN DE
Date 05/29/25 0 5149990977 0 5734
Card 1247",15,Posted,-123.02
5/28/2025,Withdrawal CourtesyFeeDebit,35,Posted,-108.02
5/28/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/IC* INSTACART*SUBSCRIP SAN FRANCISC CA
Date 05/27/25 0 5147989663 0 5411
Card 1247",9.99,Posted,-73.02
5/26/2025,Withdrawal CourtesyFeeDebit,35,Posted,-63.03
5/26/2025,"Withdrawal POS #000000216148/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",20.76,Posted,-28.03
5/26/2025,"Withdrawal Debit Card MC Debit Gator/CIRCLE K # 26146 GAINESVILLE FL
Date 05/24/25 0 5144137268 1 5499
Card 1247",7.72,Posted,-7.27
5/26/2025,"Withdrawal Debit Card MC Debit Gator/CIRCLE K # 06782 GAINESVILLE FL
Date 05/24/25 0 5144137005 1 5499
Card 1247",19.54,Posted,0.45
5/25/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/NETFLIX.COM LOS GATOS CA
Date 05/23/25 0 5143471019 2 4899
Card 1247",20.71,Posted,19.99
5/25/2025,"Withdrawal POS #000000133422/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",20.76,Posted,40.7
5/24/2025,"Withdrawal ATM Fee/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",2,Posted,61.46
5/24/2025,"Withdrawal at ATM #000000478783/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",63,Posted,63.46
5/24/2025,"Deposit Home Banking Transfer/From CHAPLINSKI,LEON 3496297 Share 0090
Funds Transfer via Mobile",,Posted,126.46
5/21/2025,"Withdrawal POS #000000059286/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",16.79,Posted,1.46
5/21/2025,"Deposit Home Banking Transfer/From CHAPLINSKI,LEON 3496297 Share 0090
Funds Transfer via Mobile",,Posted,18.25
5/21/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/20/25 0 5140325944 0 5411
Card 1247",62,Posted,-81.75
5/21/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/CANVA* I04522-50593645 CAMDEN DE
Date 05/20/25 0 5140963894 0 7333
Card 1247",12.99,Posted,-19.75
5/21/2025,"Withdrawal Debit Card MC Debit Gator/CIRCLE K # 06782 GAINESVILLE FL
Date 05/19/25 0 5139975993 0 5499
Card 1247",19.54,Posted,-6.76
5/20/2025,Withdrawal ATM Transaction,20,Posted,12.78
5/20/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/19/25 0 5139082313 1 5541
Card 1247",22.17,Posted,32.78
5/19/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/18/25 0 5138957555 0 5411
Card 1247",45.67,Posted,54.95
5/19/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/18/25 0 5138961883 0 5541
Card 1247",20.76,Posted,100.62
5/19/2025,"Withdrawal ACH FLUENT-Gainesvil/TYPE: PAYMENT ID: 1371804719
CO: FLUENT-Gainesvil
NAME: steven chaplinskiEntry Class Code: WEB",55,Posted,121.38
5/18/2025,"Withdrawal Debit Card MC Debit Gator/UBER *TRIP 8005928996 CA
Date 05/17/25 0 5137425800 0 4121
Card 1247",12.93,Posted,176.38
5/18/2025,"Withdrawal Debit Card MC Debit Gator/UBER TRIP* TRIP SAN FRANCISC CA
Date 05/17/25 0 5137032195 1 4121
Card 1247",7.84,Posted,189.31
5/18/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/17/25 0 5137923930 0 5541
Card 1247",20.33,Posted,197.15
5/18/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/17/25 0 5137923929 0 5541
Card 1247",17.28,Posted,217.48
5/18/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/CHIPOTLE ONLINE CHIPOTLE.COM CA
Date 05/17/25 0 5137923085 0 5814
Card 1247",20,Posted,234.76
5/18/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/AMAZON PRIME*NZ72M6V92 AMZN.COM/BIL WA
Date 05/17/25 0 5137026065 1 5968
Card 1247",15.13,Posted,254.76
5/16/2025,"Withdrawal Debit Card MC Debit Gator/UBER *TRIP 8005928996 CA
Date 05/15/25 0 5135067572 1 4121
Card 1247",18.97,Posted,269.89
5/16/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/15/25 0 5135215071 1 5541
Card 1247",34.99,Posted,288.86
5/16/2025,"Withdrawal ACH FLUENT-Gainesvil/TYPE: PAYMENT ID: 1371804719
CO: FLUENT-Gainesvil
NAME: steven chaplinskiEntry Class Code: WEB",25,Posted,323.85
5/15/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/14/25 0 5134998729 0 5411
Card 1247",3.41,Posted,348.85
5/15/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/14/25 0 5134998723 0 5411
Card 1247",55.08,Posted,352.26
5/15/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/14/25 0 5134204005 1 5541
Card 1247",24.19,Posted,407.34
5/14/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/13/25 0 5133133164 1 5541
Card 1247",24.19,Posted,431.53
5/14/2025,"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/13/25 0 5133953606 0 5734
Card 1247",0.08,Posted,455.72
5/14/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/RAYCAST.COM CHESHIRE LN
Date 05/13/25 0 5133953606 0 5734
Card 1247",10,Posted,455.8
5/14/2025,"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/13/25 0 5133953605 0 5734
Card 1247",0.08,Posted,465.8
5/14/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/RAYCAST.COM CHESHIRE LN
Date 05/13/25 0 5133953605 0 5734
Card 1247",10,Posted,465.88
5/14/2025,"Withdrawal Debit Card MC Debit Gator/CIRCLE K # 26146 GAINESVILLE FL
Date 05/12/25 0 5132947482 0 5499
Card 1247",19.75,Posted,475.88
5/11/2025,"Withdrawal POS #000000000047/CIRCLE K # 26146 3525 GAINESVILLE FL
Card 1247",19.75,Posted,495.63
5/11/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/09/25 0 5129018006 2 5411
Card 1247",38,Posted,515.38
5/11/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/09/25 0 5129469564 2 5541
Card 1247",23.01,Posted,553.38
5/11/2025,"Withdrawal Debit Card MC Debit Gator/AMAZON PRIME*NI9490PZ1 AMZN.COM/BIL WA
Date 05/11/25 0 5131126852 1 5818
Card 1247",3.4,Posted,576.39
5/10/2025,"Withdrawal POS #000000000052/CIRCLE K # 26146 3525 GAINESVILLE FL
Card 1247",19.75,Posted,579.79
5/9/2025,"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/08/25 0 5128330209 0 5734
Card 1247",0.06,Posted,599.54
5/9/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/IDEOGRAM AI TORONTO ON
Date 05/08/25 0 5128330209 0 5734
Card 1247",8,Posted,599.6
5/9/2025,"Withdrawal Debit Card MC Debit Gator/IONOS INC. CHESTERBROOK PA
Date 05/08/25 0 5128032400 1 4816
Card 1247",23,Posted,607.6
5/9/2025,"Withdrawal ACH FLUENT-Gainesvil/TYPE: PAYMENT ID: 1371804719
CO: FLUENT-Gainesvil
NAME: steven chaplinskiEntry Class Code: WEB",20,Posted,630.6
5/8/2025,"Withdrawal ACH SUNO INC./TYPE: SUNO INC. ID: 1800948598
CO: SUNO INC. NAME: STEVEN J CHAPLINSKI
Entry Class Code: WEB",10,Posted,650.6
5/8/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/TUBEBUDDYCOM* 8668823239 CA
Date 05/07/25 0 5127999675 0 5734
Card 1247",7.5,Posted,660.6
5/8/2025,"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/08/25 0 5128978432 0 5734
Card 1247",0.23,Posted,668.1
5/8/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/NOTEGPT.IO ADMIRALTY KO
Date 05/08/25 0 5128978432 0 5734
Card 1247",29,Posted,668.33
5/8/2025,"Withdrawal Debit Card MC Debit Gator/GRU/EZ-PAY WEB PYMT 352-334-3434 FL
Date 05/07/25 0 5127319905 0 4900
Card 1247",143.13,Posted,697.33
5/8/2025,"Withdrawal Debit Card MC Debit Gator/COX GAINESVILLE COMM 800-234-3993 FL
Date 05/07/25 0 5127973169 0 4899
Card 1247",156.13,Posted,840.46
5/8/2025,"Withdrawal Bill Payment #000000176250/APPLE COM ONE APPLE PARK WAY ONE APPLE
CA
Card 1247",13.98,Posted,996.59
5/8/2025,"Withdrawal POS #000000752480/PUBLIX 3100 SW 35TH BLVD GAINESVILLE FL
Card 1247",37.56,Posted,1010.57
5/7/2025,"Withdrawal POS #000000000025/CIRCLE K # 26146 3525 GAINESVILLE FL
Card 1247",19.75,Posted,1048.13
5/7/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/06/25 0 5126182193 1 5541
Card 1247",20.33,Posted,1067.88
5/7/2025,"Withdrawal Debit Card MC Debit Gator/IONOS INC. CHESTERBROOK PA
Date 05/06/25 0 5126989315 0 4816
Card 1247",25,Posted,1088.21
5/6/2025,"Withdrawal POS #000000248532/AMAZON.COM*NI55D0DC2 SEATTLE WA
Card 1247",20.23,Posted,1113.21
5/6/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/SUPERPOWER CHATGPT MIDDLETOWN DE
Date 05/05/25 0 5125205338 1 5734
Card 1247",15,Posted,1133.44
5/6/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/SUPERPOWER CHATGPT MIDDLETOWN DE
Date 05/05/25 0 5125957245 0 5734
Card 1247",15,Posted,1148.44
5/6/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 05/05/25 0 5125202951 1 5541
Card 1247",22.17,Posted,1163.44
5/6/2025,"Withdrawal Debit Card MC Debit Gator/IONOS INC. CHESTERBROOK PA
Date 05/05/25 0 5125954539 0 4816
Card 1247",60,Posted,1185.61
5/5/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI *CHATGPT SUBSCR SAN FRANCISC CA
Date 05/04/25 0 5124280497 0 5734
Card 1247",20,Posted,1245.61
5/5/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/HOSTINGER* HOSTINGER.C WILMINGTON DE
Date 05/05/25 0 5125011239 1 7372
Card 1247",4.68,Posted,1265.61
5/5/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/HOSTINGER* HOSTINGER.C WILMINGTON DE
Date 05/04/25 0 5124144321 1 7372
Card 1247",9.99,Posted,1270.29
5/5/2025,"Withdrawal ACH FLUENT-Gainesvil/TYPE: PAYMENT ID: 1371804719
CO: FLUENT-Gainesvil
NAME: steven chaplinskiEntry Class Code: WEB",65,Posted,1280.28
5/4/2025,"Withdrawal POS #000000330773/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",18.74,Posted,1345.28
5/4/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/NOTION LABS, INC. SAN FRANCISC CA
Date 05/02/25 0 5122358621 2 7372
Card 1247",22,Posted,1364.02
5/4/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/02/25 0 5122356706 2 5411
Card 1247",3.01,Posted,1386.02
5/4/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 05/02/25 0 5122356703 2 5411
Card 1247",65.28,Posted,1389.03
5/4/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/CS ADDTL STORAGE SAN JOSE CA
Date 05/03/25 0 5123478481 2 5817
Card 1247",9.99,Posted,1454.31
5/4/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/ADOBE SAN JOSE CA
Date 05/03/25 0 5123478479 2 5817
Card 1247",19.99,Posted,1464.3
5/4/2025,"Withdrawal Debit Card MC Debit Gator/WALGREENS #9304 GAINESVILLE FL
Date 05/02/25 0 5122473217 2 5912
Card 1247",10.81,Posted,1484.29
5/4/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/APPLE.COM/BILL 866-712-7753 CA
Date 05/03/25 0 5123472314 2 5818
Card 1247",2.99,Posted,1495.1
5/4/2025,"Withdrawal Debit Card MC Debit Gator/CIRCLE K # 06782 GAINESVILLE FL
Date 05/01/25 0 5121349634 2 5499
Card 1247",27.2,Posted,1498.09
5/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/MYDESIGNS - PRO - MON LAS VEGAS NV
Date 05/01/25 0 5121260380 1 5734
Card 1247",49.99,Posted,1525.29
5/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/PARAMOUNT+ WEST HOLLYWO CA
Date 05/01/25 0 5121277574 1 4899
Card 1247",14.96,Posted,1575.28
5/2/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/APPLE.COM/BILL 866-712-7753 CA
Date 05/01/25 0 5121270888 1 5818
Card 1247",27.98,Posted,1590.24
5/2/2025,"Withdrawal ACH Watson Realty Co/TYPE: WEB PMTS ID: 9000321157
CO: Watson Realty Co
NAME: Steven chaplinskiEntry Class Code: WEB",1179,Posted,1618.22
5/2/2025,"Withdrawal ACH FLUENT-Gainesvil/TYPE: PAYMENT ID: 1371804719
CO: FLUENT-Gainesvil
NAME: steven chaplinskiEntry Class Code: WEB",18,Posted,2797.22
5/2/2025,"Withdrawal ACH AppFolio, Inc. F/TYPE: WEB PMTS ID: 9001406550
CO: AppFolio, Inc. F
NAME: Steven chaplinskiEntry Class Code: WEB",2.49,Posted,2815.22
5/1/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA
Date 04/30/25 0 5120971870 0 5734
Card 1247",7.39,Posted,2817.71
5/1/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/PADDLE.NET* SETAPP NEW YORK NY
Date 05/01/25 0 5121349771 0 5817
Card 1247",9.99,Posted,2825.1
5/1/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 04/30/25 0 5120175998 1 5541
Card 1247",21.84,Posted,2835.09
5/1/2025,"Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE
Date 05/01/25 0 5121175942 1 5817
Card 1247",0.08,Posted,2856.93
5/1/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/OBSIDIAN.MD OAKVILLE ON
Date 05/01/25 0 5121175942 1 5817
Card 1247",10,Posted,2857.01
5/1/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/FS *RAINDROP.IO SANTA BARBAR CA
Date 04/30/25 0 5120038015 1 5734
Card 1247",3,Posted,2867.01
5/1/2025,"Withdrawal POS #000000876017/AMAZON.COM*N26MU72P0 SEATTLE WA
Card 1247",32,Posted,2870.01
5/1/2025,"Withdrawal POS #000000684070/AMAZON.COM*NB6J799P2 SEATTLE WA
Card 1247",21.36,Posted,2902.01
5/1/2025,"Withdrawal POS #000000680759/AMAZON.COM*N26B91SP0 SEATTLE WA
Card 1247",13.1,Posted,2923.37
5/1/2025,"Withdrawal POS #000000194578/Etsy.com*US Etsy.com*AiAv ADAMS STREET
www.etsy.com/ NY
Card 1247",0.2,Posted,2936.47
5/1/2025,"Withdrawal POS #000020035046/GOOGLE *YouTubePremium 1600 Amphitheatre
Parkw Mountain View CA
Card 1247",15.92,Posted,2936.67
4/30/2025,"Recurring Withdrawal Debit Card - MC Debit Gator/SUPERPOWER CHATGPT MIDDLETOWN DE
Date 04/29/25 0 5119982716 0 5734
Card 1247",15,Posted,2952.59
4/30/2025,"Withdrawal Debit Card MC Debit Gator/IONOS INC. CHESTERBROOK PA
Date 04/29/25 0 5119979985 0 4816
Card 1247",2.5,Posted,2967.59
4/30/2025,"Deposit Home Banking Transfer/From CHAPLINSKI,LEON 3496297 Share 0090
Funds Transfer via Mobile",,Posted,2970.09
4/29/2025,"Withdrawal Debit Card MC Debit Gator/SUNOCO 8002212501 QPS GAINESVILLE FL
Date 04/28/25 0 5118116540 1 5541
Card 1247",28.44,Posted,-29.91
4/29/2025,"Withdrawal Debit Card MC Debit Gator/WALGREENS #5024 GAINESVILLE FL
Date 04/28/25 0 5118112027 1 5912
Card 1247",15,Posted,-1.47
4/29/2025,"Withdrawal POS #000000085932/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",19.47,Posted,13.53
4/28/2025,Deposit Faster Payments/zel* MILLICENTCHAPLINSKI JFR07NPR4BL9,,Posted,33
4/28/2025,"Withdrawal ATM Fee/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",2,Posted,3
4/28/2025,"Withdrawal at ATM #000000105254/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",13,Posted,5
4/28/2025,"Withdrawal Debit Card MC Debit Gator/INSTACART*159 SAN FRANCISC CA
Date 04/27/25 0 5117311838 1 5411
Card 1247",58,Posted,18
4/28/2025,Withdrawal Adjustment 0428252942791701,,Posted,76
4/28/2025,Deposit Faster Payments/zel* MILLICENTCHAPLINSKI JFR07N6PNC5Z,,Posted,41
4/28/2025,Withdrawal Courtesy Pay Fee/Entry Class Code: WEB,35,Posted,-59
4/28/2025,"Withdrawal ACH FLUENT-Gainesvil/TYPE: PAYMENT ID: 1371804719
CO: FLUENT-Gainesvil
NAME: steven chaplinski",18,Posted,-24
4/27/2025,"Withdrawal Debit Card MC Debit Gator/IC* INSTACART*SUBSCRIP SAN FRANCISC CA
Date 04/26/25 0 5116980985 0 5411
Card 1247",9.99,Posted,-6
4/27/2025,"Withdrawal POS #000000045037/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",21.84,Posted,3.99
4/26/2025,"Withdrawal POS #000000977612/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",21.84,Posted,25.83
4/25/2025,"Withdrawal POS #000080196760/SMOKE CITY 2120 SW 34TH ST GAINESVILLE
Card 1247",6.34,Posted,47.67
4/25/2025,"Withdrawal POS #000000940381/SUNOCO 8002212501 4234 SW 20TH AVE
GAINESVILLE FL
Card 1247",21.84,Posted,54.01
